Symbol,Date,Open,High,Low,Close,Adj.Close,Volume
QCOM,2018-01-15,null,null,null,null,null,null
QCOM,2018-01-16,66.230003,68.650002,66.029999,68.250000,68.250000,24478800
QCOM,2018-01-17,68.519997,68.900002,67.239998,68.019997,68.019997,12559100
QCOM,2018-01-18,67.750000,68.180000,67.489998,68.050003,68.050003,6797900
QCOM,2018-01-19,68.040001,68.250000,67.750000,68.040001,68.040001,8864300
QCOM,2018-01-22,67.809998,68.750000,67.709999,68.669998,68.669998,8566200
QCOM,2018-01-23,68.599998,68.900002,68.239998,68.339996,68.339996,7825600
QCOM,2018-01-24,68.199997,68.290001,67.379997,67.980003,67.980003,12383100
QCOM,2018-01-25,68.139999,68.370003,67.290001,67.419998,67.419998,9122200
QCOM,2018-01-26,67.940002,68.529999,67.599998,68.529999,68.529999,7919000
QCOM,2018-01-29,68.160004,68.300003,67.239998,67.320000,67.320000,9745300
QCOM,2018-01-30,67.430000,67.910004,66.730003,66.989998,66.989998,8059500
QCOM,2018-01-31,67.550003,68.379997,67.459999,68.250000,68.250000,13915600
QCOM,2018-02-01,67.000000,68.349998,66.320000,66.800003,66.800003,16838500
QCOM,2018-02-02,66.180000,67.040001,65.860001,66.070000,66.070000,10971700
QCOM,2018-02-05,66.300003,66.550003,60.500000,61.730000,61.730000,35996000
QCOM,2018-02-06,62.310001,64.529999,62.200001,64.400002,64.400002,24458700
QCOM,2018-02-07,64.220001,66.120003,64.019997,65.040001,65.040001,15021200
QCOM,2018-02-08,64.629997,65.070000,62.400002,62.419998,62.419998,13451600
QCOM,2018-02-09,62.950001,64.320000,61.459999,63.990002,63.990002,23095000
QCOM,2018-02-12,64.889999,65.699997,64.389999,65.660004,65.660004,13440100
QCOM,2018-02-13,65.230003,65.760002,64.980003,65.699997,65.699997,7694897
