Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,30.230000,30.270000,30.049999,30.120001,30.120001,42914800
2018-01-09,30.200001,30.540001,30.129999,30.270000,30.270000,69479100
2018-01-10,30.370001,30.730000,30.309999,30.549999,30.549999,63532800
2018-01-11,30.660000,30.690001,30.450001,30.660000,30.660000,59318300
2018-01-12,30.879999,31.200001,30.770000,31.190001,31.190001,66371600
2018-01-16,31.740000,31.790001,31.030001,31.240000,31.240000,104467900
2018-01-17,31.000000,31.290001,30.340000,31.180000,31.180000,124382900
2018-01-18,31.330000,31.709999,31.209999,31.480000,31.480000,76463800
2018-01-19,31.580000,31.740000,31.459999,31.719999,31.719999,66491000
2018-01-22,31.670000,31.940001,31.580000,31.940001,31.940001,53848800
2018-01-23,31.860001,32.130001,31.790001,31.920000,31.920000,56531400
2018-01-24,32.009998,32.209999,31.820000,32.090000,32.090000,81585000
2018-01-25,32.240002,32.250000,31.930000,32.090000,32.090000,62265800
2018-01-26,32.110001,32.200001,31.950001,32.200001,32.200001,52699900
2018-01-29,32.250000,32.450001,32.180000,32.279999,32.279999,59126500
2018-01-30,31.950001,32.200001,31.850000,31.879999,31.879999,60555800
2018-01-31,32.049999,32.290001,31.950001,32.000000,32.000000,65734100
2018-02-01,32.000000,32.500000,31.959999,32.500000,32.500000,62367400
2018-02-02,32.439999,32.669998,31.860001,31.950001,31.950001,96971900
2018-02-05,31.120001,31.980000,29.150000,30.260000,30.260000,155908300
2018-02-06,29.410000,31.290001,29.299999,31.200001,31.200001,161141600
