Date,Open,High,Low,Close,Adj Close,Volume
2018-01-08,38.279999,38.869999,38.230000,38.599998,38.599998,10782400
2018-01-09,38.549999,38.669998,37.740002,38.160000,38.160000,7664300
2018-01-10,38.020000,38.340000,37.820000,37.950001,37.950001,4914800
2018-01-11,38.220001,38.740002,38.049999,38.410000,38.410000,7431900
2018-01-12,38.330002,38.590000,38.009998,38.389999,38.389999,5095200
2018-01-16,38.470001,38.820000,38.099998,38.470001,38.470001,7737300
2018-01-17,38.590000,39.200001,38.549999,39.090000,39.090000,5931000
2018-01-18,39.000000,39.080002,38.169998,38.590000,38.590000,7048400
2018-01-19,38.750000,38.799999,37.900002,37.970001,37.970001,8464700
2018-01-22,38.220001,38.630001,37.919998,38.049999,38.049999,9460800
2018-01-23,38.419998,38.939999,38.320000,38.529999,38.529999,6438400
2018-01-24,38.470001,38.520000,38.119999,38.209999,38.209999,5488700
2018-01-25,38.340000,38.770000,38.250000,38.680000,38.680000,6889700
2018-01-26,38.849998,38.950001,38.439999,38.860001,38.860001,7514700
2018-01-29,38.709999,38.709999,38.160000,38.330002,38.330002,4654000
2018-01-30,38.330002,38.619999,38.090000,38.290001,38.290001,4606900
2018-01-31,38.299999,38.590000,38.099998,38.509998,38.509998,10075700
2018-02-01,38.529999,38.709999,37.770000,37.840000,37.840000,4894500
2018-02-02,37.750000,38.150002,37.639999,37.720001,37.720001,5533600
2018-02-05,37.720001,38.070000,36.830002,36.919998,36.919998,7002300
2018-02-06,36.509998,36.820000,35.570000,36.470001,36.470001,12536100
